run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
1,faiss_hnsw,100,10000,150,8,0.07995176315307617,0.0,10,10,0.007136344909667969,0.6655
2,faiss_hnsw,100,10000,150,8,0.09149980545043945,0.0,10,10,0.007630586624145508,0.6658
3,faiss_hnsw,100,10000,150,8,0.09374785423278809,0.0,10,10,0.007526874542236328,0.6774
1,faiss_hnsw,100,10000,150,12,0.12105321884155273,0.0,10,10,0.007781505584716797,0.836
2,faiss_hnsw,100,10000,150,12,0.11929106712341309,0.0,10,10,0.007536172866821289,0.8365
3,faiss_hnsw,100,10000,150,12,0.11906743049621582,0.0,10,10,0.009895801544189453,0.8399
1,faiss_hnsw,100,10000,150,16,0.1435699462890625,0.0,10,10,0.005827665328979492,0.909
2,faiss_hnsw,100,10000,150,16,0.12461614608764648,0.0,10,10,0.00751495361328125,0.907
3,faiss_hnsw,100,10000,150,16,0.13478899002075195,0.0,10,10,0.007524251937866211,0.9068
1,faiss_hnsw,100,10000,150,32,0.14748787879943848,0.0,10,10,0.00960397720336914,0.9694
2,faiss_hnsw,100,10000,150,32,0.16745400428771973,0.0,10,10,0.006276845932006836,0.971
3,faiss_hnsw,100,10000,150,32,0.11487221717834473,0.0,10,10,0.006106853485107422,0.9684
1,faiss_hnsw,100,10000,300,8,0.10067343711853027,0.0,10,10,0.00738978385925293,0.722
2,faiss_hnsw,100,10000,300,8,0.1414961814880371,0.0,10,10,0.007431507110595703,0.7239
3,faiss_hnsw,100,10000,300,8,0.1250770092010498,0.0,10,10,0.0006430149078369141,0.723
1,faiss_hnsw,100,10000,300,12,0.1637105941772461,0.0,10,10,0.0009996891021728516,0.8702
2,faiss_hnsw,100,10000,300,12,0.18493199348449707,0.0,10,10,0.007605314254760742,0.8723
3,faiss_hnsw,100,10000,300,12,0.1337432861328125,0.0,10,10,0.0010488033294677734,0.8696
1,faiss_hnsw,100,10000,300,16,0.151106595993042,0.0,10,10,0.0009362697601318359,0.9294
2,faiss_hnsw,100,10000,300,16,0.14796066284179688,0.0,10,10,0.008087635040283203,0.9322
3,faiss_hnsw,100,10000,300,16,0.16741323471069336,0.0,10,10,0.007661104202270508,0.9318
1,faiss_hnsw,100,10000,300,32,0.22317838668823242,0.0,10,10,0.008025884628295898,0.9762
2,faiss_hnsw,100,10000,300,32,0.1829845905303955,0.0,10,10,0.007572174072265625,0.9767
3,faiss_hnsw,100,10000,300,32,0.20005416870117188,0.0,10,10,0.0029115676879882812,0.9767
1,faiss_hnsw,100,50000,50,8,0.20374369621276855,6.1875,10,10,0.009806156158447266,0.24816
2,faiss_hnsw,100,50000,50,8,0.24227619171142578,0.0,10,10,0.005876779556274414,0.24294
3,faiss_hnsw,100,50000,50,8,0.24741530418395996,0.0,10,10,0.00950765609741211,0.24902
1,faiss_hnsw,100,50000,50,12,0.29312920570373535,0.0,10,10,0.009688377380371094,0.37344
2,faiss_hnsw,100,50000,50,12,0.3481266498565674,0.0,10,10,0.010276556015014648,0.37182
3,faiss_hnsw,100,50000,50,12,0.3401322364807129,0.0,10,10,0.012361288070678711,0.37152
1,faiss_hnsw,100,50000,50,16,0.3651611804962158,0.0,10,10,0.010258197784423828,0.46474
2,faiss_hnsw,100,50000,50,16,0.3366110324859619,0.0,10,10,0.005122184753417969,0.46352
3,faiss_hnsw,100,50000,50,16,0.35622572898864746,0.0,10,10,0.004981517791748047,0.46656
1,faiss_hnsw,100,50000,50,32,1.5188086032867432,0.0,10,10,0.015229463577270508,0.69816
2,faiss_hnsw,100,50000,50,32,1.505272626876831,0.0,10,10,0.0077702999114990234,0.6961
3,faiss_hnsw,100,50000,50,32,1.512430191040039,0.0,10,10,0.012789487838745117,0.70114
1,faiss_hnsw,100,50000,100,8,0.3491370677947998,0.0,10,10,0.010481834411621094,0.30792
