run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
1,nmslib_hnsw,100,100000,150,12,1.1189672946929932,48.9375,10,10,0.3916957378387451,0.62218
2,nmslib_hnsw,100,100000,150,12,1.0736186504364014,48.375,10,10,0.3672597408294678,0.62185
3,nmslib_hnsw,100,100000,150,12,1.0881178379058838,50.0625,10,10,0.3713972568511963,0.62126
1,nmslib_hnsw,100,100000,150,16,1.4570016860961914,52.3125,10,10,0.49796080589294434,0.73172
2,nmslib_hnsw,100,100000,150,16,1.4301540851593018,51.1875,10,10,0.48548197746276855,0.73059
3,nmslib_hnsw,100,100000,150,16,1.447296380996704,51.1875,10,10,0.5139975547790527,0.73049
1,nmslib_hnsw,100,100000,150,32,2.978438138961792,65.8125,10,10,0.8476309776306152,0.90235
2,nmslib_hnsw,100,100000,150,32,3.0921833515167236,65.8125,10,10,0.7953169345855713,0.90138
3,nmslib_hnsw,100,100000,150,32,3.040849208831787,64.6875,10,10,0.8632042407989502,0.90147
1,nmslib_hnsw,100,100000,300,8,1.3121342658996582,45.5625,10,10,0.2668576240539551,0.51102
2,nmslib_hnsw,100,100000,300,8,1.3068578243255615,46.125,10,10,0.2672750949859619,0.5117
3,nmslib_hnsw,100,100000,300,8,1.3158931732177734,45.0,10,10,0.26799893379211426,0.51326
1,nmslib_hnsw,100,100000,300,12,1.8024005889892578,48.9375,10,10,0.39474987983703613,0.6889
2,nmslib_hnsw,100,100000,300,12,1.787137508392334,48.375,10,10,0.3743009567260742,0.69314
3,nmslib_hnsw,100,100000,300,12,1.7939722537994385,49.5,10,10,0.37747859954833984,0.69317
1,nmslib_hnsw,100,100000,300,16,2.348287343978882,51.75,10,10,0.5066633224487305,0.79378
2,nmslib_hnsw,100,100000,300,16,2.3258378505706787,52.3125,10,10,0.4854915142059326,0.79415
3,nmslib_hnsw,100,100000,300,16,2.371445417404175,51.75,10,10,0.47067785263061523,0.79337
1,nmslib_hnsw,100,100000,300,32,4.582067966461182,64.125,10,10,0.9469354152679443,0.93417
2,nmslib_hnsw,100,100000,300,32,4.6994593143463135,64.6875,10,10,0.890988826751709,0.93431
3,nmslib_hnsw,100,100000,300,32,4.685693264007568,63.5625,10,10,0.8198573589324951,0.93512
1,nmslib_hnsw,100,500000,50,8,3.14249849319458,472.5,10,10,1.9789531230926514,0.142646
2,nmslib_hnsw,100,500000,50,8,2.9444961547851562,237.9375,10,10,2.05884051322937,0.141662
3,nmslib_hnsw,100,500000,50,8,3.0532798767089844,234.5625,10,10,2.052128553390503,0.14077
1,nmslib_hnsw,100,500000,50,12,4.567861557006836,263.25,10,10,2.833878993988037,0.234306
2,nmslib_hnsw,100,500000,50,12,4.647273778915405,249.1875,10,10,3.0543975830078125,0.234854
3,nmslib_hnsw,100,500000,50,12,4.547475099563599,249.75,10,10,2.9968714714050293,0.233838
1,nmslib_hnsw,100,500000,50,16,6.175642490386963,270.5625,10,10,4.015247583389282,0.31647
2,nmslib_hnsw,100,500000,50,16,6.479641437530518,265.5,10,10,3.622366189956665,0.315286
3,nmslib_hnsw,100,500000,50,16,6.214790105819702,264.9375,10,10,3.546353340148926,0.315988
1,nmslib_hnsw,100,500000,50,32,12.075811624526978,385.875,10,10,6.098058462142944,0.49464
2,nmslib_hnsw,100,500000,50,32,12.192192077636719,328.5,10,10,6.252948522567749,0.49373
3,nmslib_hnsw,100,500000,50,32,12.08683443069458,326.8125,10,10,5.699714422225952,0.493886
1,nmslib_hnsw,100,500000,100,8,5.030570030212402,230.0625,10,10,2.014948606491089,0.18066
2,nmslib_hnsw,100,500000,100,8,4.952151298522949,231.1875,10,10,2.151902675628662,0.18059
3,nmslib_hnsw,100,500000,100,8,4.950191497802734,230.0625,10,10,2.0833139419555664,0.179892
1,nmslib_hnsw,100,500000,100,12,7.686037540435791,247.5,10,10,2.919060230255127,0.299654
2,nmslib_hnsw,100,500000,100,12,7.5590126514434814,245.25,10,10,3.0571208000183105,0.298162
3,nmslib_hnsw,100,500000,100,12,7.602262735366821,245.25,10,10,2.977316379547119,0.297934
1,nmslib_hnsw,100,500000,100,16,10.704794883728027,260.4375,10,10,3.872920036315918,0.399564
2,nmslib_hnsw,100,500000,100,16,10.475136756896973,260.4375,10,10,3.9213061332702637,0.399554
3,nmslib_hnsw,100,500000,100,16,10.605458498001099,260.4375,10,10,3.940133571624756,0.40087
1,nmslib_hnsw,100,500000,100,32,23.369362354278564,325.125,10,10,6.587533712387085,0.641482
